RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os04g0401700	LOC_Os04g32920, LOC_Os04g32920, LOC_Os04g32920	HAK1, HAK1, HAK1	Potassium transporter, Potassium mediated growth, Salt toleranc, Potassium transporter, Potassium mediated growth, Salt toleranc, Potassium transporter, Potassium mediated growth, Salt toleranc	protein_coding, protein_coding, protein_coding	LOC4335729, LOC4335729, LOC4335729	4335729, 4335729, 4335729	Potassium transporter, Potassium mediated growth, Salt tolerance, Similar to Isoform 2 of Potassium transporter 1., Potassium transporter 1 (OsHAK1). Splice isoform 2.	NA	NA	LCS, LCS, LCS	LOW CS ACCUMULATION, LOW CS ACCUMULATION, LOW CS ACCUMULATION	OsHAK1, HAK1, OsHAK1, HAK1, OsHAK1, HAK1	High-affinity Potassium(K+) Transporter 1, Potassium transporter 1, low Cs accumulation, High-affinity Potassium(K+) Transporter 1, Potassium transporter 1, low Cs accumulation, High-affinity Potassium(K+) Transporter 1, Potassium transporter 1, low Cs accumulation	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 1, HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 1, HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 1	NA	NA	potassium transporter 1-like, potassium transporter 1-like, potassium transporter 1-like	GO:0015079, GO:0006813, GO:0016021, GO:0016020, GO:0006811, GO:0071805, GO:0005886, GO:0009651, GO:0009674, GO:0030955, GO:0051365, GO:0051607, GO:0055075, GO:0015079, GO:0006813, GO:0016021, GO:0016020, GO:0006811, GO:0071805, GO:0005886, GO:0009651, GO:0009674, GO:0030955, GO:0051365, GO:0051607, GO:0055075, GO:0015079, GO:0006813, GO:0016021, GO:0016020, GO:0006811, GO:0071805, GO:0005886, GO:0009651, GO:0009674, GO:0030955, GO:0051365, GO:0051607, GO:0055075	potassium ion transmembrane transporter activity, potassium ion transport, integral component of membrane, membrane, ion transport, potassium ion transmembrane transport, plasma membrane, response to salt stress, potassium:sodium symporter activity, potassium ion binding, cellular response to potassium ion starvation, defense response to virus, potassium ion homeostasis, potassium ion transmembrane transporter activity, potassium ion transport, integral component of membrane, membrane, ion transport, potassium ion transmembrane transport, plasma membrane, response to salt stress, potassium:sodium symporter activity, potassium ion binding, cellular response to potassium ion starvation, defense response to virus, potassium ion homeostasis, potassium ion transmembrane transporter activity, potassium ion transport, integral component of membrane, membrane, ion transport, potassium ion transmembrane transport, plasma membrane, response to salt stress, potassium:sodium symporter activity, potassium ion binding, cellular response to potassium ion starvation, defense response to virus, potassium ion homeostasis	AT4G13420
Os02g0518600	LOC_Os02g31910	OsHAK19	Similar to Potassium transporter	protein_coding	LOC4329486	4329486	Similar to Potassium transporter 1 (OsHAK1). Splice isoform 2.	NA	NA	HAK19	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 19	OsHAK19	High-affinity Potassium(K+) Transporter 19, Potassium transporter 19	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 19	NA	NA	potassium transporter 19-like	GO:0015079, GO:0006813, GO:0016021, GO:0016020, GO:0006811, GO:0071805, GO:0030955	potassium ion transmembrane transporter activity, potassium ion transport, integral component of membrane, membrane, ion transport, potassium ion transmembrane transport, potassium ion binding	AT4G13420
Os02g0519100	LOC_Os02g31940	OsHAK20	Similar to Potassium transporter	protein_coding	LOC4329489	4329489	Similar to Potassium transporter 1 (OsHAK1). Splice isoform 2.	NA	NA	HAK20	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 20	OsHAK20	High-affinity Potassium(K+) Transporter 20, Potassium transporter 20	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 20	NA	NA	potassium transporter 20-like	GO:0015079, GO:0006813, GO:0016021, GO:0016020, GO:0006811, GO:0071805, GO:0030955	potassium ion transmembrane transporter activity, potassium ion transport, integral component of membrane, membrane, ion transport, potassium ion transmembrane transport, potassium ion binding	AT4G13420
Os02g0620600	LOC_Os02g40730	AMT1	Ammonium transporter, Ammonium uptak	protein_coding	LOC4330008	4330008	Ammonium transporter, Ammonium uptake	AMT1;2, OsAMT1;2, AMT1-2, Osamt1-3, """"OsAMT1, 3"""", OsAMT1;3, OsAMT1.3, OsAMT1.2	AMMONIUM TRANSPORTER-1; 2, ammonium transporter-1;2, ammonium transporter 1;2, Ammonium transporter 1 member 2, ammonium transporter 1-3, """"NH4+ transporter 1, 3"""", ammonium transporter 1;3	AMT1;2	AMMONIUM TRANSPORTER-1; 2	OsAMT1;2, AMT1-2, Osamt1-3, \OsAMT1, 3\, OsAMT1;3, OsAMT1.3, OsAMT1.2, AMT1.2	ammonium transporter-1;2, ammonium transporter 1;2, Ammonium transporter 1 member 2, ammonium transporter 1-3, \NH4+ transporter 1, 3\""""	AMMONIUM TRANSPORTER-1; 2	NA	NA	ammonium transporter 1 member 2-like	GO:0008519, GO:0072488, GO:0005887, GO:0016020, GO:0016021, GO:0097272, GO:0015696, GO:0005634, GO:0005886, GO:0009267, GO:0009413, GO:0009624, GO:0009737, GO:0015398, GO:0015843, GO:0034059, GO:0042594, GO:0051258, GO:0055085, GO:0060359	NA	AT4G13510
Os04g0509600	LOC_Os04g43070, LOC_Os04g43070	AMT1, AMT1	Ammonium transporter, Ammonium uptake, Ammonium transpor, Ammonium transporter, Ammonium uptake, Ammonium transpor	protein_coding, protein_coding	LOC4336365, LOC4336365	4336365, 4336365	Ammonium transporter, Ammonium uptake, Ammonium transport, Similar to OSIGBa0157K09-H0214G12.4 protein.	NA	NA	AMT1;1, AMT1;1	AMMONIUM TRANSPORTER-1;1, AMMONIUM TRANSPORTER-1;1	OsAMT1;1, OsAMT1:1, OsAMT1, AMT1-1, AMT1, OsAMT1p, OsAMT1-1, Osamt1-1, \OsAMT1, 1\, OsAMT1.1, AMT1.1, FCO12, OsAMT1;1, OsAMT1:1, OsAMT1, AMT1-1, AMT1, OsAMT1p, OsAMT1-1, Osamt1-1, \OsAMT1, 1\, OsAMT1.1, AMT1.1, FCO12	ammonium transporter-1;1, ammonium transporter 1;1, Ammonium transporter 1 member 1, Ammonium transporter-1, ammonium transporter 1-1, \NH4+ transporter 1, 1\, NH4+ transporter 1, Functioning in Cesium Over-transport 12, ammonium transporter-1;1, ammonium transporter 1;1, Ammonium transporter 1 member 1, Ammonium transporter-1, ammonium transporter 1-1, \NH4+ transporter 1, 1\, NH4+ transporter 1, Functioning in Cesium Over-transport 12	AMMONIUM TRANSPORTER-1;1, AMMONIUM TRANSPORTER-1;1	NA	NA	ammonium transporter 1 member 1-like, ammonium transporter 1 member 1-like	GO:0008519, GO:0072488, GO:0005887, GO:0016020, GO:0016021, GO:0097272, GO:0005886, GO:0015696, GO:0009267, GO:0009413, GO:0009610, GO:0009620, GO:0010167, GO:0030001, GO:0034059, GO:0042594, GO:0055085, GO:0060359, GO:0008519, GO:0072488, GO:0005887, GO:0016020, GO:0016021, GO:0097272, GO:0005886, GO:0015696, GO:0009267, GO:0009413, GO:0009610, GO:0009620, GO:0010167, GO:0030001, GO:0034059, GO:0042594, GO:0055085, GO:0060359	NA	AT4G13510
Os02g0620500	LOC_Os02g40710	OsAMT1	Similar to Ammonium transporter Amt1;2 (Fragment)	protein_coding	LOC4330007	4330007	Ammonium transporter 1;3, Ammonium uptake under low ammonium condition	OsAMT1;3	ammonium transporter 1;3	AMT1;3	AMMONIUM TRANSPORTER-1; 3	OsAMT1;3, AMT1-3, Osamt1-2, \OsAMT1, 2\, OsAMT1;2, OsAMT1.3, AMT1.2	ammonium transporter-1;3, ammonium transporter 1;3, Ammonium transporter 1 member 3, ammonium transporter 1-2, \NH4+ transporter 1, 2\, Ammonium transporter 1;2	AMMONIUM TRANSPORTER-1; 3	NA	NA	ammonium transporter 1 member 3	GO:0008519, GO:0072488, GO:0005887, GO:0016020, GO:0016021, GO:0097272, GO:0015696, GO:0005634, GO:0005886, GO:0009413, GO:0009624, GO:0009737, GO:0010157, GO:0010167, GO:0015398, GO:0015843, GO:0019740, GO:0042128, GO:0042594, GO:0046688, GO:0051258, GO:0055085, GO:0060359	NA	AT4G13510
Os07g0446100	LOC_Os07g26490, LOC_Os07g26490	XBOS34, XBOS34	Zinc finger, RING/FYVE/PHD-type domain containing protein, Zinc finger, RING/FYVE/PHD-type domain containing protein	protein_coding, protein_coding	LOC4343110, LOC4343110	4343110, 4343110	Zinc finger, RING/FYVE/PHD-type domain containing protein., Similar to Protein binding protein.	NA	NA	NA	NA	XBOS34, OsRING270, RING270, XBOS34, OsRING270, RING270	RING-type E3 ubiquitin ligase 270, RING-type E3 ubiquitin ligase 270	NA	NA	NA	probable E3 ubiquitin-protein ligase XBOS34, probable E3 ubiquitin-protein ligase XBOS34	GO:0016567, GO:0046872, GO:0016740, GO:0005515, GO:0044238, GO:0043170, GO:0008270, GO:0016874, GO:0016567, GO:0046872, GO:0016740, GO:0005515, GO:0044238, GO:0043170, GO:0008270, GO:0016874	protein ubiquitination, metal ion binding, transferase activity, protein binding, primary metabolic process, macromolecule metabolic process, zinc ion binding, ligase activity, protein ubiquitination, metal ion binding, transferase activity, protein binding, primary metabolic process, macromolecule metabolic process, zinc ion binding, ligase activity	AT4G14365
Os06g0593200	LOC_Os06g39270	NA	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4341422	4341422	UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	NA	NA	OsUGT75G1	UDP-glucosyltransferase 75G1	UDP-GLUCOSYLTRANSFERASE 75G1	NA	NA	cyanidin 3-O-rutinoside 5-O-glucosyltransferase	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT4G15550
Os05g0179950	LOC_Os05g08750	NA	Similar to cDNA, clone: J100088D24, full insert sequence	protein_coding	LOC107276307	107276307	Similar to cDNA, clone: J100088D24, full insert sequence.	NA	NA	NA	NA	OsUGT75K2	UDP-glucosyltransferase 75K2	UDP-GLUCOSYLTRANSFERASE 75K2	NA	NA	cyanidin 3-O-rutinoside 5-O-glucosyltransferase	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT4G15550
Os01g0179600	LOC_Os01g08440	OsUGT75K1	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4323880	4323880	UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	UGT75K1	UDP-GLUCOSE-DEPENDENT GLYCOSYLTRANSFERASE 75K1	OsUGT75K1	UDP-glucose-dependent glycosyltransferase 75K1, chloroplastic  crocetin glucosyltransferase	UDP-GLUCOSE-DEPENDENT GLYCOSYLTRANSFERASE 75K1	NA	NA	crocetin glucosyltransferase, chloroplastic	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758, GO:0009813	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity, flavonoid biosynthetic process	AT4G15550
Os06g0593800	LOC_Os06g39330	NA	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4341423	4341423	UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	NA	NA	OsUGT75H1	chloroplastic crocetin glucosyltransferase, UDP-glucosyltransferase 75H1	UDP-GLUCOSYLTRANSFERASE 75H1	NA	NA	crocetin glucosyltransferase, chloroplastic	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758, GO:0009813	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity, flavonoid biosynthetic process	AT4G15550
Os02g0203300	LOC_Os02g10880	NA	Similar to UDP-glycosyltransferase UGT75E3	protein_coding	LOC4328664	4328664	Similar to UDP-glycosyltransferase UGT75E3.	NA	NA	NA	NA	OsUGT75J1	UDP-glucosyltransferase 75J1	UDP-GLUCOSYLTRANSFERASE 75J1	NA	NA	cyanidin 3-O-rutinoside 5-O-glucosyltransferase	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT4G15550
Os03g0193000	LOC_Os03g09280	NA	GRAS transcription factor domain containing protein	protein_coding	LOC4331920	4331920	GRAS transcription factor domain containing protein.	NA	NA	GRAS12	GRAS PROTEIN 12	OsGRAS-12, OsGRAS12, GRAS-12, OsGRAS11, GRAS11	GRAS protein 12	GRAS PROTEIN 12	NA	NA	scarecrow-like protein 21	GO:0043565, GO:0005634, GO:0003700, GO:0006355, GO:0009737, GO:0042742	sequence-specific DNA binding, nucleus, DNA-binding transcription factor activity, regulation of DNA-templated transcription, response to abscisic acid, defense response to bacterium	AT4G17230
Os07g0583600	LOC_Os07g39470, LOC_Os07g39470, LOC_Os07g39470	CIGR2, CIGR2, CIGR2	Chitin-inducible gibberellin-responsive protein, Chitin-inducible gibberellin-responsive protein, Chitin-inducible gibberellin-responsive protein	protein_coding, protein_coding, protein_coding	LOC4343735, LOC4343735, LOC4343735	4343735, 4343735, 4343735	GRAS family protein, Transcriptional activator, N-acetylchitooligosaccharide elicitor-responsive protein, Pathogen-induced defense response, Plant immune signaling, Chitin-inducible gibberellin-responsive protein., Similar to Chitin-inducible gibberellin-responsive protein 2.	NA	NA	CIGR2, CIGR2, CIGR2	CHITIN INDUSIBLE GIBBERELLIN RESPONSIVE GENE 2, CHITIN INDUSIBLE GIBBERELLIN RESPONSIVE GENE 2, CHITIN INDUSIBLE GIBBERELLIN RESPONSIVE GENE 2	OsCIGR2, OsGRAS-36, OsGRAS36, GRAS-36, GRAS36, OsCIGR2, OsGRAS-36, OsGRAS36, GRAS-36, GRAS36, OsCIGR2, OsGRAS-36, OsGRAS36, GRAS-36, GRAS36	Chitin-inducible gibberellin-responsive protein 2, GA response modulator protein, GRAS protein 36, Chitin-inducible gibberellin-responsive protein 2, GA response modulator protein, GRAS protein 36, Chitin-inducible gibberellin-responsive protein 2, GA response modulator protein, GRAS protein 36	CHITIN-INDUCIBLE GIBBERELLIN-RESPONSIVE PROTEIN 2, CHITIN-INDUCIBLE GIBBERELLIN-RESPONSIVE PROTEIN 2, CHITIN-INDUCIBLE GIBBERELLIN-RESPONSIVE PROTEIN 2	NA	NA	chitin-inducible gibberellin-responsive protein 2-like, chitin-inducible gibberellin-responsive protein 2-like, chitin-inducible gibberellin-responsive protein 2-like	GO:0043565, GO:0005634, GO:0003700, GO:0006355, GO:0006350, GO:0009814, GO:0009817, GO:0042742, GO:0045449, GO:0045893, GO:0050832, GO:0043565, GO:0005634, GO:0003700, GO:0006355, GO:0006350, GO:0009814, GO:0009817, GO:0042742, GO:0045449, GO:0045893, GO:0050832, GO:0043565, GO:0005634, GO:0003700, GO:0006355, GO:0006350, GO:0009814, GO:0009817, GO:0042742, GO:0045449, GO:0045893, GO:0050832	NA	AT4G17230
Os02g0654700	LOC_Os02g43790	ERF91	AP2/ERF family protein, Abiotic stress respons	protein_coding	LOC4330189	4330189	AP2/ERF family protein, Abiotic stress response	ERF91, OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3	ETHYLENE RESPONSE FACTOR 91, Apetela2 transcription factor 59, ethylene response factor 91, ETHYLENE-RESPONSIVE ELEMENT-BINDING FACTOR 91, APETALA2/ethylene-responsive element binding protein 147, benzothiadiazole (BTH)-induced ethylene responsive transcriptional factor 3, benzothiadiazole-induced ethylene responsive transcriptional factor 3, BTH-induced ethylene responsive transcriptional factor 3, BTH-induced ERF transcriptional factor 3	ERF91	ETHYLENE RESPONSE FACTOR 91	OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3	Apetela2 transcription factor 59, ethylene response factor 91, ETHYLENE-RESPONSIVE ELEMENT-BINDING FACTOR 91, APETALA2/ethylene-responsive element binding protein 147, benzothiadiazole (BTH)-induced ethylene responsive transcriptional factor 3, benzothiadiazole-induced ethylene responsive transcriptional factor 3, BTH-induced ethylene responsive transcriptional factor 3, BTH-induced ERF transcriptional factor 3	ETHYLENE-RESPONSIVE ELEMENT-BINDING FACTOR 91	NA	NA	ethylene-responsive transcription factor 2	GO:0003677, GO:0005634, GO:0003700, GO:0006355, GO:0009873, GO:0006351, GO:0009409, GO:0009414, GO:0009620, GO:0009651, GO:0009723, GO:0009737, GO:0009751, GO:0009753, GO:0030912, GO:0042546, GO:0042742, GO:0045893, GO:0050832	DNA binding, nucleus, DNA-binding transcription factor activity, regulation of DNA-templated transcription, ethylene-activated signaling pathway, DNA-templated transcription, response to cold, response to water deprivation, response to fungus, response to salt stress, response to ethylene, response to abscisic acid, response to salicylic acid, response to jasmonic acid, response to deep water, cell wall biogenesis, defense response to bacterium, positive regulation of DNA-templated transcription, defense response to fungus	AT4G17500
Os04g0546800	LOC_Os04g46220	OsERF1	Pathogenesis-related transcriptional factor and ERF domain containing protein	protein_coding	LOC4336571	4336571	Ethylene response factor (ERF) protein, Transcription factor, Ethylene response	OsERF1	Ethylene Response Factor 1	ERF93	ETHYLENE RESPONSE FACTOR 93	OsERF1, ERF1, OsERF#093, OsERF093, OsERF93, AP2/EREBP#168, AP2/EREBP168	ethylene response factor 1, ethylene responsive factor 1, ethylene response factor 93, APETALA2/ethylene-responsive element binding protein 168	ETHYLENE RESPONSE FACTOR 93	NA	NA	ethylene-responsive transcription factor 2	GO:0003677, GO:0005634, GO:0003700, GO:0006355, GO:0009873, GO:0006351, GO:0009723, GO:0009753	DNA binding, nucleus, DNA-binding transcription factor activity, regulation of DNA-templated transcription, ethylene-activated signaling pathway, DNA-templated transcription, response to ethylene, response to jasmonic acid	AT4G17500
Os10g0564800	LOC_Os10g41510	CBL1	Calcineurin B-like protein, Calcium sensor protein, Reguration of potassium uptake by CBL1-CIPK23 comple	protein_coding	LOC4349412	4349412	Calcineurin B-like protein, Calcium sensor protein, Reguration of potassium uptake by CBL1-CIPK23 complex	CBL1, OsCBL1, Os-CBL1	CALCINEURIN B-LIKE PROTEIN 1, Calcineurin B-like protein 1, Calcineurin B-Like protein1	CBL1	CALCINEURIN B-LIKE PROTEIN 1	OsCBL1, Os-CBL1	Calcineurin B-like protein 1, Calcineurin B-Like protein1	CALCINEURIN B-LIKE PROTEIN 1	NA	NA	calcineurin B-like protein 1	GO:0019722, GO:0005773, GO:0005509, GO:0032578, GO:0016020, GO:0046872, GO:0019900, GO:0009684, GO:0010600, GO:0031225, GO:0048527	calcium-mediated signaling, vacuole, calcium ion binding, aleurone grain membrane, membrane, metal ion binding, kinase binding, indoleacetic acid biosynthetic process, regulation of auxin biosynthetic process, anchored component of membrane, lateral root development	AT4G17615
Os01g0626400	LOC_Os01g43650, LOC_Os01g43650	WRKY11, WRKY11	WRKY transcription factor, Control of flowering time and plant heigh, WRKY transcription factor, Control of flowering time and plant heigh	protein_coding, protein_coding	LOC4326690, LOC4326690	4326690, 4326690	WRKY transcription factor, Control of flowering time and plant height, WRKY transcription factor, Splicing variant	WRKY11, OsWRKY11, Dlf1, OsWRKY11.1, WRKY11, OsWRKY11.2	WRKY GENE11, Rice WRKY gene11, semidwarf and late flowering 1, WRKY GENE11	WRKY11, WRKY11	WRKY GENE11, WRKY GENE11	OsWRKY11, Dlf1, OsWRKY11.1, OsWRKY11.2, OsWRKY11, Dlf1, OsWRKY11.1, OsWRKY11.2	Rice WRKY gene11, semidwarf and late flowering 1, Rice WRKY gene11, semidwarf and late flowering 1	TRANSCRIPTION FACTOR WRKY11, TRANSCRIPTION FACTOR WRKY11	NA	NA	WRKY transcription factor 71, WRKY transcription factor 71	GO:0006355, GO:0043565, GO:0003700, GO:0005634, GO:0003677, GO:0050896, GO:0006952, GO:0009408, GO:0009409, GO:0009414, GO:0009609, GO:0009651, GO:0009737, GO:0009739, GO:0009751, GO:0009863, GO:0042742, GO:2000028, GO:0006355, GO:0043565, GO:0003700, GO:0005634, GO:0003677, GO:0050896, GO:0006952, GO:0009408, GO:0009409, GO:0009414, GO:0009609, GO:0009651, GO:0009737, GO:0009739, GO:0009751, GO:0009863, GO:0042742, GO:2000028	regulation of DNA-templated transcription, sequence-specific DNA binding, DNA-binding transcription factor activity, nucleus, DNA binding, response to stimulus, defense response, response to heat, response to cold, response to water deprivation, response to symbiotic bacterium, response to salt stress, response to abscisic acid, response to gibberellin, response to salicylic acid, salicylic acid mediated signaling pathway, defense response to bacterium, regulation of photoperiodism, flowering, regulation of DNA-templated transcription, sequence-specific DNA binding, DNA-binding transcription factor activity, nucleus, DNA binding, response to stimulus, defense response, response to heat, response to cold, response to water deprivation, response to symbiotic bacterium, response to salt stress, response to abscisic acid, response to gibberellin, response to salicylic acid, salicylic acid mediated signaling pathway, defense response to bacterium, regulation of photoperiodism, flowering	AT4G18170
Os05g0583000	LOC_Os05g50610	OsWRKY8	Similar to WRKY8	protein_coding	LOC4339739	4339739	Similar to WRKY8.	NA	NA	WRKY8	WRKY GENE 8	OsWRKY8	Rice WRKY gene8	TRANSCRIPTION FACTOR WRKY8	NA	NA	WRKY transcription factor 23	GO:0043565, GO:0005634, GO:0003700, GO:0003677, GO:0006355, GO:0050896, GO:0006952, GO:0009408, GO:0009409, GO:0009414, GO:0009651, GO:0009737, GO:0030912, GO:0042742	sequence-specific DNA binding, nucleus, DNA-binding transcription factor activity, DNA binding, regulation of DNA-templated transcription, response to stimulus, defense response, response to heat, response to cold, response to water deprivation, response to salt stress, response to abscisic acid, response to deep water, defense response to bacterium	AT4G18170
Os05g0565900	LOC_Os05g49100	OsWRKY49	DNA-binding WRKY domain containing protein	protein_coding	LOC9268095	9268095	DNA-binding WRKY domain containing protein.	NA	NA	WRKY49	WRKY GENE 49	OsWRKY49	Rice WRKY gene49	TRANSCRIPTION FACTOR WRKY49	NA	NA	WRKY transcription factor 23	GO:0043565, GO:0005634, GO:0003700, GO:0006355, GO:0006952, GO:0007568, GO:0010150, GO:0042742	sequence-specific DNA binding, nucleus, DNA-binding transcription factor activity, regulation of DNA-templated transcription, defense response, aging, leaf senescence, defense response to bacterium	AT4G18170
Os01g0137282	LOC_Os01g04490	OsRLCK21	Conserved hypothetical protein	protein_coding	LOC4325673	4325673	Conserved hypothetical protein.	NA	NA	RLCK21	RECEPTOR-LIKE CYTOPLASMIC KINASE 21	NA	NA	NA	NA	NA	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1	GO:0030247, GO:0004674, GO:0005524	polysaccharide binding, protein serine/threonine kinase activity, ATP binding	AT4G18250
Os01g0138300	LOC_Os01g04570, LOC_Os01g04570	NA	Conserved hypothetical protein, Conserved hypothetical protein	protein_coding, protein_coding	LOC4325680, LOC4325680	4325680, 4325680	Conserved hypothetical protein., Protein kinase, core domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1, LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1	GO:0030247, GO:0004672, GO:0005524, GO:0016021, GO:0016740, GO:0016020, GO:0000166, GO:0006468, GO:0016301, GO:0016310, GO:0004674, GO:0016772, GO:0030247, GO:0004672, GO:0005524, GO:0016021, GO:0016740, GO:0016020, GO:0000166, GO:0006468, GO:0016301, GO:0016310, GO:0004674, GO:0016772	polysaccharide binding, protein kinase activity, ATP binding, integral component of membrane, transferase activity, membrane, nucleotide binding, protein phosphorylation, kinase activity, phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, polysaccharide binding, protein kinase activity, ATP binding, integral component of membrane, transferase activity, membrane, nucleotide binding, protein phosphorylation, kinase activity, phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	AT4G18250
Os01g0117266	LOC_Os01g02790	OsRLCK17	Conserved hypothetical protein	protein_coding	NA	NA	Conserved hypothetical protein.	NA	NA	RLCK17	RECEPTOR-LIKE CYTOPLASMIC KINASE 17	NA	NA	NA	NA	NA	NA	GO:0030247, GO:0016020, GO:0004672, GO:0004674, GO:0005524, GO:0042742	polysaccharide binding, membrane, protein kinase activity, protein serine/threonine kinase activity, ATP binding, defense response to bacterium	AT4G18250
Os01g0117300	LOC_Os01g02790	OsRLCK17	Similar to Receptor kinase LRK10	protein_coding	LOC4326098	NA	Similar to Receptor kinase LRK10.	NA	NA	RLCK17	RECEPTOR-LIKE CYTOPLASMIC KINASE 17	NA	NA	NA	NA	NA	rust resistance kinase Lr10	GO:0005524, GO:0016021, GO:0004674, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0016772, GO:0030247, GO:0042742	ATP binding, integral component of membrane, protein serine/threonine kinase activity, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, polysaccharide binding, defense response to bacterium	AT4G18250
Os01g0114900	LOC_Os01g02460	OsRLCK9	Similar to LRK14	protein_coding	LOC112937592	112937592	Similar to LRK14.	NA	NA	RLCK9	RECEPTOR-LIKE CYTOPLASMIC KINASE 9	OsRLCK9	Receptor-like Cytoplasmic Kinase 9	RECEPTOR-LIKE CYTOPLASMIC KINASE 9	NA	NA	rust resistance kinase Lr10-like	GO:0004672, GO:0005524, GO:0016020, GO:0006468, GO:0004674, GO:0016772	protein kinase activity, ATP binding, membrane, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	AT4G18250
Os01g0117100	LOC_Os01g02770	NA	Similar to Receptor kinase LRK10	protein_coding	LOC4326098	4326098	Similar to Receptor kinase LRK10.	NA	NA	NA	NA	NA	NA	NA	NA	NA	rust resistance kinase Lr10	GO:0005524, GO:0016021, GO:0004674, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0016772	ATP binding, integral component of membrane, protein serine/threonine kinase activity, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups	AT4G18250
